,id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
0,19372,15681439,Marshall,705,Germany,Female,36.0,4,154206.07,1,1.0,1.0,160162.42,0
1,50703,15802570,Balashov,686,France,Female,43.0,8,105419.73,1,1.0,0.0,35356.46,0
2,127320,15714046,Trevisani,613,Germany,Male,25.0,2,134260.36,2,1.0,0.0,101382.86,0
3,116274,15671148,Trevisano,581,France,Male,44.0,2,0.0,1,1.0,1.0,107640.25,0
4,90355,15720671,Okeke,684,France,Male,25.0,8,0.0,1,1.0,1.0,145556.24,0
5,112457,15757537,Calabresi,704,France,Male,40.0,1,0.0,2,1.0,0.0,139946.68,0
6,158245,15719348,Ku,601,France,Male,31.0,5,122344.81,2,1.0,0.0,139431.85,0
7,100645,15659568,Teng,681,Germany,Male,46.0,2,169458.53,2,0.0,1.0,75937.47,0
8,24889,15792726,Manna,681,France,Female,41.0,1,0.0,2,1.0,1.0,162523.66,0
9,98300,15809558,Peppin,596,Germany,Male,30.0,10,57657.49,1,1.0,1.0,79240.9,0
10,26485,15602998,Hales,700,France,Male,37.0,5,0.0,2,1.0,1.0,96583.99,0
11,52928,15594812,Chukwualuka,730,France,Female,30.0,5,0.0,2,1.0,1.0,9241.52,0
12,119585,15793723,Ch'iu,607,Germany,Female,32.0,9,144272.07,2,1.0,0.0,176580.63,0
13,3556,15803526,Ts'ai,775,Spain,Female,37.0,9,0.0,2,1.0,1.0,64421.02,0
14,61813,15762773,Koehler,669,France,Male,42.0,6,0.0,2,1.0,0.0,134489.14,0
15,139195,15670103,Zikoranachidimma,597,France,Male,41.0,5,0.0,1,1.0,1.0,91573.19,0
16,144852,15681446,Toscani,753,France,Female,41.0,8,0.0,3,1.0,0.0,48378.4,1
17,161282,15637240,Wei,527,France,Male,46.0,4,0.0,1,1.0,0.0,94499.06,1
18,155660,15672328,Nnachetam,622,France,Female,62.0,3,0.0,2,1.0,1.0,99298.8,0
19,95940,15811314,Ch'en,575,Germany,Male,67.0,5,108367.04,1,1.0,1.0,199446.31,0
20,162625,15812007,Wright,579,Germany,Female,34.0,2,148854.55,2,0.0,0.0,126307.97,0
